candidate_id,file_path,language,topic,location,claim_type,current_text,suggested_source,status
C00011,src/content/hojo-undo/chi-ishi/attention-points.md,base,Ademhaling en kracht,line 15,general,'Combineer de externe spierkracht en de interne kracht van de adem',"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00012,src/content/hojo-undo/chi-ishi/attention-points.md,base,Training balans,line 17,general,Training balans,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00013,src/content/hojo-undo/chi-ishi/attention-points.md,base,Training balans,line 18,general,'Oefen de zwakke kant vaker',"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00014,src/content/hojo-undo/chi-ishi/attention-points.md,base,Training balans,line 19,general,'Oefen na een oefenserie snelle stoten om te voorkomen dat je traag wordt',"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00015,src/content/hojo-undo/chi-ishi/attention-points.md,base,Ademhalingstechnieken,line 21,general,Ademhalingstechnieken,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00016,src/content/hojo-undo/chi-ishi/attention-points.md,base,Langzame uitvoering,line 23,general,Langzame uitvoering,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00017,src/content/hojo-undo/chi-ishi/attention-points.md,base,Langzame uitvoering,line 24,technique,Gebruik de sanchin ademhaling met de H(u)ah en Hatt klanken,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00018,src/content/hojo-undo/chi-ishi/attention-points.md,base,Langzame uitvoering,line 25,general,Aanbevolen voor beginners,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00019,src/content/hojo-undo/chi-ishi/attention-points.md,base,Langzame uitvoering,line 26,general,Helpt bij het aanleren van goede techniek,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00020,src/content/hojo-undo/chi-ishi/attention-points.md,base,Langzame uitvoering,line 27,safety,Verkleint de kans op blessures,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00021,src/content/hojo-undo/chi-ishi/attention-points.md,base,Snelle uitvoering,line 29,general,Snelle uitvoering,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00022,src/content/hojo-undo/chi-ishi/attention-points.md,base,Snelle uitvoering,line 30,general,De H(u)ah klank valt weg,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00023,src/content/hojo-undo/chi-ishi/attention-points.md,base,Snelle uitvoering,line 31,general,Voor gevorderden die hun ademhaling goed kunnen reguleren,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00024,src/content/hojo-undo/chi-ishi/attention-points.md,base,Natuurlijke ademhaling,line 33,general,Natuurlijke ademhaling,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00025,src/content/hojo-undo/chi-ishi/attention-points.md,base,Natuurlijke ademhaling,line 34,general,Kan gebruikt worden door ervaren karateka,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00026,src/content/hojo-undo/chi-ishi/attention-points.md,base,Natuurlijke ademhaling,line 35,grading,Vereist goede ademhalingsregulatie,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00027,src/content/hojo-undo/chi-ishi/attention-points.md,base,Belangrijke verschillen met Sanchin Kata,line 37,technique,Belangrijke verschillen met Sanchin Kata,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00028,src/content/hojo-undo/chi-ishi/attention-points.md,base,Belangrijke verschillen met Sanchin Kata,line 39,technique,"Let op: Hoewel de sanchin ademhaling wordt gebruikt en de beweging aan het einde wordt gefocust, is het bekken aan het einde van de beweging niet achterover gekanteld zoals in sanchin kata.","Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00029,src/content/hojo-undo/chi-ishi/attention-points.md,base,Interne aandachtspunten,line 41,general,Interne aandachtspunten,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00030,src/content/hojo-undo/chi-ishi/attention-points.md,base,Interne aandachtspunten,line 43,general,"Bij het oefenen met de chi ishi moet je niet alleen proberen zo veel mogelijk trainingsarbeid in een korte tijd te verrichten, maar ook letten op de interne aandachtspunten:","Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00031,src/content/hojo-undo/chi-ishi/attention-points.md,base,Controlepunten,line 45,general,Controlepunten,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00032,src/content/hojo-undo/chi-ishi/attention-points.md,base,Controlepunten,line 46,general,Worteling: Blijf je voortdurend optimaal op je voeten steunen?,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00033,src/content/hojo-undo/chi-ishi/attention-points.md,base,Controlepunten,line 47,general,Centrering: Maak je de beweging vanuit je tanden of een geïsoleerde beweging vanuit je schouder?,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00034,src/content/hojo-undo/chi-ishi/attention-points.md,base,Controlepunten,line 48,general,Ademhaling: Strookt de beweging met je ademhaling?,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00035,src/content/hojo-undo/chi-ishi/attention-points.md,base,Controlepunten,line 49,general,Krachtgebruik: Gebruik je efficiënte bewegingspatronen?,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00036,src/content/hojo-undo/chi-ishi/attention-points.md,base,Trainingseffecten,line 51,general,Trainingseffecten,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00037,src/content/hojo-undo/chi-ishi/attention-points.md,base,Trainingseffecten,line 52,general,Lichte gewichten: Makkelijker om in lijn met bewegingsprincipes te blijven,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00038,src/content/hojo-undo/chi-ishi/attention-points.md,base,Trainingseffecten,line 53,general,Zware gewichten: Groter trainingseffect maar risico op inefficiënte patronen,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00039,src/content/hojo-undo/chi-ishi/attention-points.md,base,Trainingseffecten,line 54,general,Balans: Zoek de juiste balans tussen uitdaging en correcte uitvoering,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00040,src/content/hojo-undo/chi-ishi/attention-points.md,base,Veiligheidsrichtlijnen,line 56,safety,Veiligheidsrichtlijnen,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00041,src/content/hojo-undo/chi-ishi/attention-points.md,base,Veiligheidsrichtlijnen,line 58,general,Opbouw: Begin altijd met lichtere gewichten,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00042,src/content/hojo-undo/chi-ishi/attention-points.md,base,Veiligheidsrichtlijnen,line 59,grading,"Techniek: Focus eerst op correcte uitvoering, dan op gewicht","Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00043,src/content/hojo-undo/chi-ishi/attention-points.md,base,Veiligheidsrichtlijnen,line 60,general,Rust: Neem voldoende rust tussen oefenseries,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00044,src/content/hojo-undo/chi-ishi/attention-points.md,base,Veiligheidsrichtlijnen,line 61,safety,Controle: Stop bij pijn of ongemak,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00045,src/content/hojo-undo/chi-ishi/attention-points.md,base,Veiligheidsrichtlijnen,line 62,general,Begeleiding: Train onder deskundige begeleiding,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00046,src/content/hojo-undo/chi-ishi/attention-points.md,base,Veiligheidsrichtlijnen,line 64,technique,"De meeste van deze aandachtspunten komen ook veelvuldig terug bij kihon, sanchin kata, e.a.","Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00047,src/content/hojo-undo/chi-ishi/construction.md,base,Constructie (Construction),line 1,general,Constructie (Construction),"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00048,src/content/hojo-undo/chi-ishi/construction.md,base,Lengte stok (inclusief steen),line 5,general,Lengte stok (inclusief steen),"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00049,src/content/hojo-undo/chi-ishi/construction.md,base,Lengte stok (inclusief steen),line 6,general,Aanbevolen: Schouderbreedte,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00050,src/content/hojo-undo/chi-ishi/construction.md,base,Lengte stok (inclusief steen),line 7,general,"Lange varianten: Ook langere chi ishi zijn bekend, deze worden gebruikt voor het ontwikkelen van kracht voor werptechnieken","Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00051,src/content/hojo-undo/chi-ishi/construction.md,base,Lengte stok (inclusief steen),line 8,general,"Wapentraining: Zowel korte als lange chi ishi worden ook gebruikt als ondersteunende training voor training met wapens (zwaard, naginata, e.a.)","Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00052,src/content/hojo-undo/chi-ishi/construction.md,base,Diameter stok,line 10,general,Diameter stok,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00053,src/content/hojo-undo/chi-ishi/construction.md,base,Diameter stok,line 11,general,De dikte van de stok bepaalt het trainingseffect:,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00054,src/content/hojo-undo/chi-ishi/construction.md,base,Diameter stok,line 12,general,Dunne stok: Sluit aan bij het chinkuchi kakin moment van een stoot of slag met een gesloten vuist of bij het beetpakken/trekken aan de karate gi,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00055,src/content/hojo-undo/chi-ishi/construction.md,base,Diameter stok,line 13,general,Dikke stok: Sluit meer aan bij het beetpakken van de pols,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00056,src/content/hojo-undo/chi-ishi/construction.md,base,Diameter steen,line 15,general,Diameter steen,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00057,src/content/hojo-undo/chi-ishi/construction.md,base,Diameter steen,line 16,grading,Aanbevolen: Niet meer dan 20-30 cm,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00058,src/content/hojo-undo/chi-ishi/construction.md,base,Diameter steen,line 17,general,Reden: Beperkte bewegingsruimte die de steen heeft bij sommige oefeningen,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00059,src/content/hojo-undo/chi-ishi/construction.md,base,Diameter steen,line 18,general,"Effect: Een steen met een grote diameter, bij identiek gewicht, maakt de chi ishi meer 'top-zwaar', wat de oefeningen verzwaart","Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00060,src/content/hojo-undo/chi-ishi/construction.md,base,Hoogte steen,line 20,general,Hoogte steen,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00061,src/content/hojo-undo/chi-ishi/construction.md,base,Hoogte steen,line 21,grading,Normaal: Niet hoger dan 10-15 cm,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00062,src/content/hojo-undo/chi-ishi/construction.md,base,Hoogte steen,line 22,general,Afhankelijk van: Het gewenste gewicht,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00063,src/content/hojo-undo/chi-ishi/construction.md,base,Materiaal steen,line 26,general,Materiaal steen,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00064,src/content/hojo-undo/chi-ishi/construction.md,base,Materiaal steen,line 27,general,Om een zware steen te maken kun je gebruik maken van een betonmengsel waarin fijn grind is verwerkt.,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00065,src/content/hojo-undo/chi-ishi/construction.md,base,Materiaal steen,line 30,general,Blik methode: Gebruik een blik dat je erom heen laat of afknipt (moeilijker),"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00066,src/content/hojo-undo/chi-ishi/construction.md,base,Materiaal steen,line 31,general,Plastic mal: Gebruik een emmer als mal,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00067,src/content/hojo-undo/chi-ishi/construction.md,base,Materiaal steen,line 32,general,Conische mal: Wanneer de mal conisch is kun je de chi ishi er makkelijker uittrekken,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00068,src/content/hojo-undo/chi-ishi/construction.md,base,Materiaal steen,line 33,general,Voorbehandeling: Eventueel kun je hem vooraf ook nog inoliën,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00069,src/content/hojo-undo/chi-ishi/construction.md,base,Verbinding stok-steen,line 35,general,Verbinding stok-steen,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00070,src/content/hojo-undo/chi-ishi/construction.md,base,Verbinding stok-steen,line 36,general,Voor de verbinding tussen stok en steen kun je gebruiken:,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00071,src/content/hojo-undo/chi-ishi/construction.md,base,Verbinding stok-steen,line 39,general,Schroefankertjes,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00072,src/content/hojo-undo/chi-ishi/construction.md,base,Verbinding stok-steen,line 41,general,"Lengte verbinding: Afhankelijk van de diameter van de steen. Als richtlijn kun je een lengte van 0,25 keer de diameter gebruiken.","Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00073,src/content/hojo-undo/chi-ishi/construction.md,base,Gewicht van de steen,line 45,general,Gewicht van de steen,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00074,src/content/hojo-undo/chi-ishi/construction.md,base,Gewicht van de steen,line 46,general,Beginners: 2-3 kg als richtlijn,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00075,src/content/hojo-undo/chi-ishi/construction.md,base,Gewicht van de steen,line 47,general,Gevorderden: 6-7 kg of zelfs 10 kg,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00076,src/content/hojo-undo/chi-ishi/construction.md,base,Gewicht van de steen,line 49,general,Tip: Het is een goed idee om het gewicht op de chi ishi te noteren. Dit kan een uitdaging voor je zijn en je kunt het gebruiken als indicatie voor je kracht en trainingstoestand.,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00077,src/content/hojo-undo/chi-ishi/construction.md,base,Bouwtips,line 53,general,Gewicht opbouwen: Begin met lichtere gewichten en bouw geleidelijk op,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00078,src/content/hojo-undo/chi-ishi/construction.md,base,Bouwtips,line 54,general,Balans: Zorg voor een goede balans tussen stok en steen,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00079,src/content/hojo-undo/chi-ishi/construction.md,base,Bouwtips,line 55,safety,Veiligheid: Controleer regelmatig de verbinding tussen stok en steen,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00080,src/content/hojo-undo/chi-ishi/construction.md,base,Bouwtips,line 56,general,Opslag: Bewaar de chi ishi op een droge plaats om roest te voorkomen,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00081,src/content/hojo-undo/chi-ishi/exercises.md,base,Oefeningen (Exercises),line 1,general,Oefeningen (Exercises),"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00082,src/content/hojo-undo/chi-ishi/exercises.md,base,Chi Ishi Kata,line 3,technique,Chi Ishi Kata,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00083,src/content/hojo-undo/chi-ishi/exercises.md,base,Chi Ishi Kata,line 5,technique,"Als basisoefenstof is er een chi ishi kata. Deze kata staat o.a. vermeld in 'Traditional Karate, volume I', van Morio Higaonna. Deze kata is niet zo vast omlijnd als de heishu en kaishu katas. Er is een zekere speling gebruikelijk tussen het aantal herhalingen en de afwisseling links en rechts. Bijna alle oefeningen in deze kata maken gebruik van shiko dachi.","Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00084,src/content/hojo-undo/chi-ishi/exercises.md,base,Basis oefenserie (10 oefeningen),line 7,general,Basis oefenserie (10 oefeningen),"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00085,src/content/hojo-undo/chi-ishi/exercises.md,base,Basis oefenserie (10 oefeningen),line 9,general,Van binnen uit opheffen + van buiten af opheffen,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00086,src/content/hojo-undo/chi-ishi/exercises.md,base,Basis oefenserie (10 oefeningen),line 10,general,Achter naar voren + van onder naar boven,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00087,src/content/hojo-undo/chi-ishi/exercises.md,base,Basis oefenserie (10 oefeningen),line 11,technique,Om en over de schouder zwaaien en voorwaarts uitdrukken (tate zuki),"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00088,src/content/hojo-undo/chi-ishi/exercises.md,base,Basis oefenserie (10 oefeningen),line 12,general,Binnenlangs rond zwaaien en van buiten af opheffen + buitenlangs rond zwaaien en van binnen uit opheffen,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00089,src/content/hojo-undo/chi-ishi/exercises.md,base,Basis oefenserie (10 oefeningen),line 13,general,Wringen met de steen boven,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00090,src/content/hojo-undo/chi-ishi/exercises.md,base,Basis oefenserie (10 oefeningen),line 14,general,Wringen met de steen onder,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00091,src/content/hojo-undo/chi-ishi/exercises.md,base,Basis oefenserie (10 oefeningen),line 15,general,Wringen naar achteren met voorover buigen,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00092,src/content/hojo-undo/chi-ishi/exercises.md,base,Basis oefenserie (10 oefeningen),line 16,technique,Ura hiki uke,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00093,src/content/hojo-undo/chi-ishi/exercises.md,base,Basis oefenserie (10 oefeningen),line 17,technique,Morote chi ishi zuki,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00094,src/content/hojo-undo/chi-ishi/exercises.md,base,Variaties,line 21,general,Dubbele chi ishi: Een aantal van deze oefeningen kunnen ook met 2 chi ishis worden uitgevoerd,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00095,src/content/hojo-undo/chi-ishi/exercises.md,base,Variaties,line 22,general,Aantal herhalingen: Varieer tussen 5-15 herhalingen per kant,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00096,src/content/hojo-undo/chi-ishi/exercises.md,base,Variaties,line 23,general,"Tempo: Begin langzaam, bouw op naar snellere uitvoering","Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00097,src/content/hojo-undo/chi-ishi/exercises.md,base,Gevorderde oefeningen,line 25,general,Gevorderde oefeningen,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00098,src/content/hojo-undo/chi-ishi/exercises.md,base,Polszwaai-oefeningen,line 27,general,Polszwaai-oefeningen,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00099,src/content/hojo-undo/chi-ishi/exercises.md,base,Polszwaai-oefeningen,line 28,general,"Als gevorderde chi ishi oefening zijn de polszwaai-oefeningen gebruikelijk, waarbij de chi ishi met een of twee handen wordt rond gezwaaid in een cirkel- of lemniscaatvormige baan. Deze zwaai-oefeningen, in combinatie met andere oefeningen, kunnen uiteindelijk ook in vrije beweging als een soort van schaduwgevecht worden getraind.","Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00100,src/content/hojo-undo/chi-ishi/exercises.md,base,Schaduwgevecht,line 30,general,Schaduwgevecht,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00101,src/content/hojo-undo/chi-ishi/exercises.md,base,Schaduwgevecht,line 31,general,Combineer chi ishi oefeningen met vrije beweging,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00102,src/content/hojo-undo/chi-ishi/exercises.md,base,Schaduwgevecht,line 32,technique,Integreer in kata-achtige sequenties,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00103,src/content/hojo-undo/chi-ishi/exercises.md,base,Schaduwgevecht,line 33,general,Focus op vloeiende overgangen,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00104,src/content/hojo-undo/chi-ishi/exercises.md,base,Hardingstraining,line 35,general,Hardingstraining,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00105,src/content/hojo-undo/chi-ishi/exercises.md,base,Hardingstraining,line 37,general,De chi ishi kan ook worden gebruikt bij hardingstraining:,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00106,src/content/hojo-undo/chi-ishi/exercises.md,base,Steen oefeningen,line 39,general,Steen oefeningen,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00107,src/content/hojo-undo/chi-ishi/exercises.md,base,Steen oefeningen,line 40,general,Tegen aan slaan: Gebruik de steen om tegen aan te slaan,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00108,src/content/hojo-undo/chi-ishi/exercises.md,base,Steen oefeningen,line 41,general,Buik training: Laat de steen tegen de buik aan zwaaien om te leren een klap op te vangen,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00109,src/content/hojo-undo/chi-ishi/exercises.md,base,Steen oefeningen,line 42,general,Partner oefeningen: Dit laatste kan ook met partner worden beoefend,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00110,src/content/hojo-undo/chi-ishi/exercises.md,base,Stok oefeningen,line 44,general,Stok oefeningen,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00111,src/content/hojo-undo/chi-ishi/exercises.md,base,Stok oefeningen,line 45,general,Scheenbeen training: Met de stok kan men over het scheenbeen rollen om de circulatie te verbeteren en te wennen aan de inwerking van krachten op het scheenbeen,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
C00112,src/content/hojo-undo/chi-ishi/exercises.md,base,Training principes,line 47,general,Training principes,"Use Hojo Undo PDFs, docs/hojo_undo_extracted.txt, and equipment-specific source PDFs.",candidate
